,0,1
year,2007.6338923525088,2005.71091954023
X1,914.5426150799053,399.3393530651341
X2,1646.9825630393946,856.3409969348659
X3,123.74636357572622,85.88091896551724
X4,393.6845858402984,138.56857643678163
X5,208.56010202553702,103.7353978927203
X6,141.99472572214205,-48.11233275862069
X7,297.79454660913126,132.56530651340998
X8,3596.0151573521002,857.8130112068965
X9,2447.8715809670307,1183.9571722222222
X10,2952.5553907462363,1664.6309810344828
X11,730.5169838147614,609.4300068965517
X12,269.93807959217014,52.687657471264366
X13,800.8891312651439,327.6161752873563
X14,628.7487938662166,347.2339540229885
X15,582.0347096594157,-165.10726724137933
X16,2447.8715809670307,1183.9571722222222
X17,1809.5719736054016,1266.8167480842912
X18,2054.1870219977673,1045.3885957854407
horizon_years,1.6559835221421215,1.6074890452795114
y,0.0,1.0
Bankrupt_,0.0,1.0
ROA_C_ before interest and depreciation before interest,0.5080692807159637,0.41850334377756016
ROA_A_ before interest and _ after tax,0.5620147005185935,0.45694678468064853
ROA_B_ before interest and depreciation after tax,0.5566593487742333,0.4614834841265592
Operating Gross Margin,0.6082573405235892,0.5986703796930957
Realized Sales Gross Margin,0.6082366003840523,0.5987169290157226
Operating Profit Rate,0.9987556736754314,0.9987387537097224
Pre_tax net Interest Rate,0.7972097625333621,0.7965895415639713
After_tax net Interest Rate,0.8091055871889746,0.8084238832215956
Non_industry income and expenditure_revenue,0.30365674211488736,0.30260852341542793
Continuous interest rate _after tax_,0.781400865486958,0.780798532033293
Operating Expense Rate,1998943222.6099124,1887486363.6366553
Research and development expense rate,1961922518.5636468,1605623181.8182456
Cash flow rate,0.46765622986958455,0.4606808860096398
Interest_bearing debt interest rate,16903924.837931264,2772727.273244279
Tax rate _A_,0.11777818468140971,0.031690270454315404
Net Value Per Share _B_,0.19166887253990908,0.1604163713746116
Net Value Per Share _A_,0.19164440268846783,0.1603010638175612
Net Value Per Share _C_,0.1916796323780298,0.1604590849713263
Persistent EPS in the Last Four Seasons,0.23014621858970755,0.18881793256379625
Cash Flow Per Share,0.3237311513017201,0.31600587111834194
Revenue Per Share _Yuan __,1372935.3325779715,0.027322982536467713
Operating Profit Per Share _Yuan __,0.10981541631354354,0.08735370972159508
Per Share Net profit before tax _Yuan __,0.1855806002363319,0.14776544537032602
Realized Sales Gross Profit Growth Rate,0.022408865379176,0.022377531918884908
Operating Profit Growth Rate,0.8480097718126116,0.8470868312030928
After_tax Net Profit Growth Rate,0.6892416796567387,0.6862797202785097
Regular Net Profit Growth Rate,0.6892435214185901,0.6863451476525232
Continuous Net Profit Growth Rate,0.21765628472708928,0.21712093960116138
Total Asset Growth Rate,5531602816.032917,4803016818.181823
Net Value Growth Rate,204576.45167501632,42409090.9094791
Total Asset Return Growth Rate Ratio,0.26427716389540423,0.2633580860708632
Cash Reinvestment _,0.3798710637684694,0.37384581254593546
Current Ratio,416729.8229132025,0.00723761179585026
Quick Ratio,7257160.1870742105,41954545.45876614
Interest Expense Ratio,0.6309965126077909,0.6308260098554067
Total debt_Total net worth,4037732.997004946,15772727.305904383
